shared_request_flag,shared_match_flag,access_a_ride_flag,wav_match_flag,wav_request_flag,flag_id
1,1,1,1,1,F1
1,0,0,0,0,F2
0,1,0,0,0,F3
0,0,1,0,0,F4
0,0,0,1,0,F5
0,0,0,0,1,F6
1,1,0,0,0,F7
1,1,1,0,0,F8
1,1,1,1,0,F9
0,0,0,0,1,F10
0,0,0,1,1,F11
0,0,1,1,1,F12
0,1,1,1,1,F13
0,1,1,0,0,F14
0,0,1,1,0,F15
1,0,0,0,1,F16
1,0,1,0,0,F17
1,0,0,1,0,F18
0,1,0,1,0,F19
0,1,0,0,1,F20
0,0,1,0,1,F21
0,1,1,1,0,F22
1,0,0,1,1,F23
1,1,0,0,1,F24
1,1,0,1,0,F25
1,0,0,1,1,F26
0,1,0,1,1,F27
1,0,1,1,1,F28
1,1,0,1,1,F29
1,1,1,0,1,F30
1,1,1,1,0,F31
0,0,0,0,0,F32
